"G1","G2","Score","DifferenceinPotential","ActualPotential","ConstRatio","MeanPotPoints","ConstDiffmax","ConstDiffmean"
"ESSFwc 4 /101","ESSFwc 4 /111",13.235440684169,56.2364393939394,0.235353461684407,0.526315789473684,97.2170833333333,0.894399739226154,0.863856842538796
"ESSFwc 4 /101","ESSFwk 2 /01",14.4272238509594,58.3333666666667,0.247323696117192,0.631578947368421,94.3764833333333,0.883221191100875,0.847131156603885
"ESSFwc 4 /101","ESSFwm 3 /101",13.440910044893,57.8411666666667,0.232376191897231,0.611111111111111,88.1395833333333,0.885179472850346,0.847504270651461
"ESSFwc 4 /101","ESSFwm 2 /101",12.9418774038474,40.9919202898551,0.315717763704041,0.6875,94.1551268115942,0.887119453051891,0.862547289328766
"ESSFwc 4 /101","ESSFwm 2 /110",11.1568036182201,48.7431666666667,0.228889593786893,0.7,100.069083333333,0.910344392094062,0.888508985526964
"ESSFwc 4 /101","ESSFwc 4 /103b",13.2674329603676,42.2288333333333,0.314179481484632,0.625,83.2735833333333,0.872902699923673,0.840676569575975
"ESSFwc 4 /101","ESSFwh 1 /101",13.7384875853602,48.4904523809524,0.283323559809824,0.666666666666667,95.3602261904762,0.885134938985874,0.855930631310391
"ESSFwc 4 /101","ESSFdc 1 /110",4.71881340217355,66.861803030303,0.0705756229761692,0.75,105.951446969697,0.966144827853245,0.955462492140167
"ESSFwc 4 /101","ESSFwc 4 /110",7.19766700065534,44.6225,0.161301294204837,0.736842105263158,105.958399122807,0.943886437283662,0.932070821565423
"ESSFwc 4 /101","ESSFwm 3 /110",6.70475064886476,50.7736666666667,0.132051732503032,0.761904761904762,96.5548333333333,0.945016737657092,0.930560175835857
"ESSFwc 4 /101","ESSFwc 4 /103a",12.0329165658898,48.5608333333333,0.247790569887732,0.611111111111111,81.4395833333333,0.886181265929911,0.852247321592512
"ESSFwc 4 /101","ESSFwc 2 /04",14.3986783536907,53.749384057971,0.267885457778662,0.722222222222222,91.4023007246377,0.878263066903604,0.84246919126173
"ESSFwc 4 /101","ESSFvc   /01",4.87749090920596,58.6151666666667,0.0832120965712394,0.8,100.822583333333,0.962518368844483,0.951623031785644
"ESSFwc 4 /101","ESSFdv 1 /110",12.2489970041927,59.8083333333333,0.204804185662968,0.526315789473684,87.6333333333333,0.895786476620715,0.860224454117238
"ESSFwc 4 /111","ESSFwmw  /110",6.07642744682128,50.473703030303,0.120387985862126,0.7,94.8983666666667,0.949420098961947,0.935969103997702
"ESSFwc 4 /111","ESSFwm 3 /111",3.17156994297216,34.4702090909091,0.0920090137720865,0.789473684210526,100.24965,0.973004412740675,0.96836328163767
