"","x"
"ESSFwh 2 /111",7
"ESSFwh 2 /112",7
"ESSFwh 3 /101",1
"ESSFwh 3 /102",11
"ESSFwh 3 /103",11
"ESSFwh 3 /104.1",11
"ESSFwh 3 /104.2",11
"ESSFwh 3 /110",7
"ESSFwh 3 /112",10
"ESSFwk 1 /01",12
"ESSFwk 1 /02",6
"ESSFwk 1 /03",12
"ESSFwk 1 /04",7
"ESSFwk 1 /05",7
"ESSFwk 1 /06",13
"ESSFwk 1 /07",7
"ESSFwk 2 /01",12
"ESSFwk 2 /02",12
"ESSFwk 2 /03",7
"ESSFwk 2 /04",13
"ESSFwk 2 /05",7
"ESSFwk 2 /06",4
"ESSFwm 1 /101",1
"ESSFwm 1 /103",6
"ESSFwm 1 /104",1
"ESSFwm 1 /110",7
"ESSFwm 1 /111",4
"ESSFwm 1 /112",10
"ESSFwm 2 /101",1
"ESSFwm 2 /102",6
"ESSFwm 2 /103",1
"ESSFwm 2 /104",8
"ESSFwm 2 /110",1
"ESSFwm 2 /111",4
"ESSFwm 2 /112",10
"ESSFwm 3 /101",8
"ESSFwm 3 /102",6
"ESSFwm 3 /103",11
"ESSFwm 3 /104",15
"ESSFwm 3 /105",8
"ESSFwm 3 /110",1
"ESSFwm 3 /111",4
"ESSFwm 3 /112",13
"ESSFwm 4 /101",1
"ESSFwm 4 /102b",11
"ESSFwm 4 /103.1",11
"ESSFwm 4 /103.2",11
"ESSFwm 4 /110",1
"ESSFwm 4 /111",4
"ESSFwmw  /101",8
"ESSFwmw  /102",6
"ESSFwmw  /103",6
"ESSFwmw  /110",4
"ESSFwv   /01",16
"ESSFwv   /03",16
"ESSFwv   /04",9
"ESSFwv   /05",12
"ESSFwv   /06",7
"ESSFwv   /07",16
"ESSFwv   /08",9
"ESSFwv   /09",7
"ESSFwvw  /101",16
"ESSFwvw  /101.1(Sk)",16
"ESSFwvw  /102",14
"ESSFwvw  /103",14
"ESSFwvw  /104",16
"ESSFwvw  /105",14
"ESSFwvw  /110",16
"ESSFwvw  /111",13
"ESSFwvw /103",14
"ESSFxc 1 /101",5
"ESSFxc 1 /104",2
"ESSFxc 1 /110",2
"ESSFxc 1 /111",10
"ESSFxc 1 /112",10
"ESSFxc 2 /101",5
"ESSFxc 2 /103a",2
"ESSFxc 2 /103b",14
"ESSFxc 2 /110",5
"ESSFxc 2 /111",4
"ESSFxc 2 /112",10
"ESSFxc 2 /Ws12  ",9
"ESSFxc 3 /102",14
"ESSFxc 3 /110",2
"ESSFxc 3 /111",10
"ESSFxc 3 /112",4
"ESSFxv 1 /01",2
"ESSFxv 1 /02",14
"ESSFxv 1 /04",2
"ESSFxv 1 /05",2
"ESSFxv 1 /06",2
"ESSFxv 1 /07",5
"ESSFxv 1 /08",9
"ESSFxv 1 /09",9
"ESSFxv 2 /01",2
"ESSFxv 2 /01.1",2
"ESSFxv 2 /05",2
"ESSFxv 2 /06",2
"ESSFxv 2 /08",15
"ESSFxv 2 /10",4
"Fl01",9
"MS  dc 1 /110",11
"MS  dc 1 /111",3
"MS  dc 2 /05",9
"MS  dc 2 /07",4
"MS  dc 3 /110",6
"MS  dk   /111b (Ws07)",15
"MS  dm 1 /112",7
"SBS mc 2 /10Ws07",9
