"YearOfChange","ChangeDescription","FamilyCode","OldCode","Code","SplCode","TreeCode","ScientificName","Lifeform","Authority","EnglishName","Codetype","Province","Native","TaxonLevel","IsAttribute","ID"
,,"Fabaceae","ACMINEV1","ACMINEV1","ACMINEV",,"Acmispon nevadensis var. nevadensis",7.00,"(S. Watson) Brouillet","Nevada bird's-foot trefoil","U",,"E",,0,77
,,"Fabaceae","ACMIPAR","ACMIPAR","ACMIPAR",,"Acmispon parviflorus",7.00,"(Bentham) D.D. Sokoloff","small-flowered bird's-foot trefoil","U",,"N",,0,78
,,"Fabaceae","ACMISPO","ACMISPO","ACMISPO",,"Acmispon sp.",7.00,"Rafinesque",,"U",,"N",,0,79
,,"Polygona","ACONALA","ACONALA","ACONALA",,"Aconogonon alaskanum",0.00,"(W. Wight ex Harshberger) Soják","Alaska wild rhubarb","U",,,,0,80
,,"Polygona","ACONALA1","ACONALA1","ACONALA",,"Aconogonon alaskanum var. glabrescens",0.00,"(Hultén) H.R. Hinds",,"U",,,,0,81
,,"Polygona","ACONALA2","ACONALA2","ACONALA",,"Aconogonon alaskanum var. alaskanum",0.00,"(W. Wight ex Harshberger) Soják","Alaska wild rhubarb","U",,,,0,82
,,"Ranuncul","ACONCOL","ACONCOL","ACONCOL",,"Aconitum columbianum",7.00,"Nuttall","Columbia monkshood","U",,"N",,0,83
,,"Encalypt","ENCAAFF","ENCAAFF","ENCAAFF",,"Encalypta affinis",9.00,,,"U",,"N",,0,84
,,"Encalypt","ENCAALP","ENCAALP","ENCAALP",,"Encalypta alpina",9.00,,"alpine extinguisher-moss","U",,"N",,0,85
,,"Encalypt","ENCABRE","ENCABRE","ENCABRE",,"Encalypta brevicollis",9.00,,"white-mouthed extinguisher-moss","U",,,,0,86
,,"Encalypt","ENCABRP","ENCABRP","ENCABRP",,"Encalypta brevipes",9.00,,,"U",,"N",,0,87
,,"Encalypt","ENCACIL","ENCACIL","ENCACIL",,"Encalypta ciliata",9.00,,"fringed extinguisher-moss","U",,"N",,0,88
,,"Encalypt","ENCALON","ENCALON","ENCALON",,"Encalypta longicollis",9.00,,,"U",,,,0,89
,,"Encalypt","ENCAMUT","ENCAMUT","ENCAMUT",,"Encalypta mutica",9.00,,,"U",,"N",,0,90
,,"Encalypt","ENCAPRO","ENCAPRO","ENCAPRO",,"Encalypta procera",9.00,,"blunt extinguisher-moss","U",,"N",,0,91
,,"Encalypt","ENCARHB","ENCARHB","ENCARHB",,"Encalypta rhabdocarpa",9.00,,,"U",,,,0,92
,,"Encalypt","ENCARHA","ENCARHA","ENCARHA",,"Encalypta rhaptocarpa",9.00,,"ribbed extinguisher-moss","U",,"N",,0,93
,,"Encalypt","ENCASPA","ENCASPA","ENCASPA",,"Encalypta spathulata",9.00,,,"U",,"N",,0,94
,,"Encalypt","ENCAVIT","ENCAVIT","ENCAVIT",,"Encalypta vittiana",9.00,,,"U",,,,0,95
,,"Encalypt","ENCAVUL","ENCAVUL","ENCAVUL",,"Encalypta vulgaris",9.00,,"common extinguisher-moss","U",,"N",,0,96
,,"Entodont","ENTOBRE","ENTOBRE","ENTOBRE",,"Entodon brevisetus",9.00,,,"U",,,,0,97
,,,"ENTOCHA","ENTOCHA","ENTOCHA",,"Entodon challengeri",9.00,,,"U",,,,0,98
,,"Entodont","ENTOCLA","ENTOCLA","ENTOCLA",,"Entodon cladorrhizans",9.00,,,"U",,,,0,99
,,"Entodont","ENTOCON","ENTOCON","ENTOCON",,"Entodon concinnus",9.00,,"Montagne's cylinder-moss","U",,"N",,0,100
,,"Entodont","ENTOSCH","ENTOSCH","ENTOSCH",,"Entodon schleicheri",9.00,,"Schleicher's silk","U",,,,0,101
,,"Entodont","ENTOSED","ENTOSED","ENTOSED",,"Entodon seductrix",9.00,,,"U",,,,0,102
,,"Funariac","ENTOFAS","ENTOFAS","ENTOFAS",,"Entosthodon fascicularis",9.00,,"Hasselquist's hyssop","U",,"N",,0,103
,,"Funariac","ENTORUB","ENTORUB","ENTORUB",,"Entosthodon rubiginosus",9.00,,,"U",,"N",,0,104
,,"Ephemera","EPHECOH","EPHECOH","EPHECOH",,"Ephemerum cohaerens",9.00,,,"U",,,,0,105
,,"Ephemera","EPHECRA","EPHECRA","EPHECRA",,"Ephemerum crassinervium",9.00,,,"U",,,,0,106
,,"Ephemera","EPHESER","EPHESER","EPHESER",,"Ephemerum serratum",9.00,,,"U",,,,0,107
,,"Ephemera","EPHESPI","EPHESPI","EPHESPI",,"Ephemerum spinulosum",9.00,,,"U",,,,0,108
,,"Bryaceae","EPIPTOZ","EPIPTOZ","EPIPTOZ",,"Epipterygium tozeri",9.00,,"Tozer's transparant thread-moss","U",,"N",,0,109
