PlotNumber Species Cover
02-0813 CYNOPOL-7 0.100000001490116
02-0813 DICRELO-7 0.100000001490116
02-0813 DISTCAP-7 0.100000001490116
02-0813 DRYAINT-6 35
02-0813 EVERPER-7 0.100000001490116
02-0813 FLAVCUC-7 0.100000001490116
02-0813 FLAVNIV-7 3.09999990463257
02-0813 INOCDUL-7 9.99999977648258E-03
02-0813 LECAEPI-7 0.100000001490116
02-0813 LECIDIA-7 0.100000001490116
02-0813 MOSS-7 3
02-0813 ORTHPYL-7 0.100000001490116
02-0813 OXYTARC-6 30
02-0813 OXYTMAY-6 3
02-0813 POHLIA-7 0.100000001490116
02-0813 RINOROS-7 0.100000001490116
02-0813 SALIARC-5c 2
02-0813 SAXIOPP-6 0.100000001490116
02-0813 THAMVER-7 5.09999990463257
02-0813 TORTNOR-7 0.100000001490116
02-0813 VULPTIL-7 2.09999990463257
02-0814 BRYUCAE-7 0.100000001490116
02-0814 CALOTIR-7 0.100000001490116
02-0814 CARERUP-6 15
02-0814 CARESCI-6 0.100000001490116
02-0814 CLADINA-7 9.99999977648258E-03
02-0814 CRUSTBLK-7 5
02-0814 DACTYLN-7 2.99999993294477E-02
02-0814 DICRFUL-7 0.100000001490116
02-0814 DISTCAP-7 0.100000001490116
02-0814 DITRFLE-7 0.100000001490116
02-0814 DRABGLA-6 2.99999993294477E-02
02-0814 DRYAINT-6 10
02-0814 EVERPER-7 0.100000001490116
02-0814 HULTINT-6 1.00000004749745E-03
02-0814 HYPNCUP-7 0.100000001490116
02-0814 LECAEPI-7 35
02-0814 MEGAVEU-7 0.100000001490116
02-0814 MINUELE-6 0.100000001490116
02-0814 PEDILAN-6 9.99999977648258E-03
02-0814 PHYSARC-6 9.99999977648258E-03
02-0814 SAXIOPP-6 2.99999993294477E-02
02-0814 SILEURA-6 0.100000001490116
02-0814 STERPAS-7 5.00000007450581E-02
02-0814 VULPTIL-7 2.09999990463257
02-0815 ARCTRUB-6 0.200000002980232
02-0815 ARTEBOR-6 0.100000001490116
02-0815 ASTRALP-6 9.99999977648258E-03
02-0815 BISTVIV-6 9.99999977648258E-03
02-0815 CAREPER-6 1
02-0815 CARERUP-6 15
02-0815 CARESCI-6 0.100000001490116
02-0815 DRYAINT-6 30
02-0815 FLAVCUC-7 1
02-0815 HEDYBOR2-6 0.100000001490116
02-0815 HULTINT-6 9.99999977648258E-03
02-0815 HYPNCUP-7 0.100000001490116
02-0815 LECAEPI-7 10
02-0815 MINUELE-6 9.99999977648258E-03
02-0815 OXYTMAY-6 0.100000001490116
02-0815 PEDILAG-6 9.99999977648258E-03
02-0815 PHYSARC-6 0.100000001490116
02-0815 SAXIAIZ-6 9.99999977648258E-03
02-0815 SAXIOPP-6 0.100000001490116
02-0815 TOFIPUS-6 9.99999977648258E-03
02-0815 VACCULI-5c 0.100000001490116
02-0815 VULPTIL-7 1
02-0816 ARCTLAT-6 0.300000011920929
02-0816 CAMPSTE-7 0.100000001490116
02-0816 CAREAQU3-6 20
02-0816 CAREMEM-6 15
02-0816 CARERUP-6 0.100000001490116
02-0816 CARESCI-6 0.100000001490116
02-0816 CERAPUR-7 0.100000001490116
02-0816 DREPBRE-7 0.100000001490116
02-0816 DREPPOL-7 0.100000001490116
02-0816 DRYAINT-6 0.5
02-0816 EQUIVAR-6 9.99999977648258E-03
02-0816 ERIOANG-6 25
02-0816 MOSS-7 1
02-0816 MYURJUL-7 0.100000001490116
02-0816 PEDICAP-6 0.100000001490116
02-0816 PEDILAG-6 9.99999977648258E-03
02-0816 SALIARC-5b 0.100000001490116
02-0816 SALIRET-6 0.100000001490116
02-0816 SALIRIC-5a 30
02-0816 SCORCOS-7 0.100000001490116
02-0816 SCORPID-7 0.5
02-0816 WARNEXA-7 0.100000001490116
02-0817 ARCTRUB-6 0.100000001490116
02-0817 BISTVIV-6 9.99999977648258E-03
