"G1","G2","Score"
"SUBASS BlSe - Vaccsco (Pa)","Sk24 ASSOC BlLa-Vaccsco",7.66666666666667
"SUBASS BlSe-Menzfer (Tiartri)","SUBASS BlSe-Menzfer (Pleusch)",7
"SUBASS BlSe-Menzfer (Tiartri)","SUBASS BlSe-Menzfer (typic)",10.9032738095238
"SUBASS BlSe-Menzfer (Tiartri)","ASSOC Abielas-Pinucon-Menzfer-Vaccsco",12.6155660377358
"SUBASS BlSe-Menzfer (Tiartri)","SUBASS Bl-Vaccmem-Pleusch(Barblyc - mc zonal)",14.9021739130435
"SUBASS BlSe-Menzfer (Tiartri)","ASSOC Abielas-Menzfer-Ribelac",10.5108695652174
"SUBASS BlSe-Menzfer (Tiartri)","ASSOC BlSe-Menzfer-Tiartri",4.63602941176471
"SUBASS BlSe-Menzfer (Tiartri)","SUBASS Bl-Gymndry-Equiset(typic)",10.9857954545455
"SUBASS BlSe-Menzfer (Tiartri)","Ws08.3 SUBASS Abielas-Piceeng-Equiset-Pleusch (N-S transition)",5.8125
"SUBASS BlSe-Menzfer (Tiartri)","ASSOC SxwBl-Equiset(MS/ICHmk)",13.91875
"SUBASS BlSe-Menzfer (Tiartri)","SUBASS SxwBl - Ribelac (typic)",8.71306818181818
"SUBASS BlSe-Menzfer (Tiartri)","ASSOC Piceene-Abielas-Menzfer-Corncan",7.23355263157895
"SUBASS BlSe-Menzfer (Tiartri)","ASSOC SxwBl-Rubupar-Arnica",9.70138888888889
"SUBASS BlSe-Menzfer (Pleusch)","SUBASS BlSe-Menzfer (typic)",7.9375
"SUBASS BlSe-Menzfer (Pleusch)","ASSOC Abielas-Pinucon-Menzfer-Vaccsco",3.31092767295597
"SUBASS BlSe-Menzfer (Pleusch)","ASSOC Abielas-Menzfer-Ribelac",12.695652173913
"SUBASS BlSe-Menzfer (Pleusch)","ASSOC BlSe-Menzfer-Tiartri",14.3210784313725
"SUBASS BlSe-Menzfer (Pleusch)","ASSOC SxwFd-Corncan-Pleusch (MSdk)",10.86
"SUBASS BlSe-Menzfer (Pleusch)","SUBASS SxwBl - Ribelac (typic)",13.2916666666667
"SUBASS BlSe-Menzfer (Pleusch)","ASSOC Piceene-Abielas-Menzfer-Corncan",9.73684210526316
"SUBASS BlSe-Menzfer (typic)","ASSOC Abielas-Rhodalb-Menzfer",4.46153846153846
"SUBASS BlSe-Menzfer (typic)","ASSOC Abielas-Pinucon-Menzfer-Vaccsco",3.70754716981132
"SUBASS BlSe-Menzfer (typic)","ASSOC Abielas-Rhodalb-Vaccsco",14.2081128747795
"SUBASS BlSe-Menzfer (typic)","ASSOC Abielas-Menzfer-Vaccmyt",13.3452380952381
"SUBASS BlSe-Menzfer (typic)","SUBASS Bl-Rhodalb-Menzfer-Tiartri (Vaccmyt wm4)",10.0267857142857
"SUBASS BlSe-Menzfer (typic)","SUBASS Bl-Menzfer-Rhodalb-Xeroten(typic)",11.2509157509158
"SUBASS BlSe-Menzfer (typic)","ASSOC BlSe-Menzfer-Tiartri",1.76470588235294
"SUBASS BlSe-Menzfer (typic)","SUBASS SxwBl - Ribelac (typic)",13.8809523809524
"ASSOC Abielas-Rhodalb-Menzfer","ASSOC Abielas-Pinucon-Menzfer-Vaccsco",10.3425253991292
"ASSOC Abielas-Rhodalb-Menzfer","ASSOC Abielas-Rhodalb-Vaccsco",7.54036087369421
"ASSOC Abielas-Rhodalb-Menzfer","ASSOC Abielas(Larilya)-Vaccmem-Vaccsco-Luzula",11.5153846153846
"ASSOC Abielas-Rhodalb-Menzfer","ASSOC Abielas-Menzfer-Vaccmyt",8.6510989010989
"ASSOC Abielas-Rhodalb-Menzfer","ASSOC Abielas-Vaccmem-Paximyr",8.94505494505495
"ASSOC Abielas-Rhodalb-Menzfer","SUBASS Bl-Rhodalb-Menzfer-Tiartri (Rhytrob wm2)",13.6822742474916
"ASSOC Abielas-Rhodalb-Menzfer","SUBASS Bl-Rhodalb-Menzfer-Tiartri (typic wm1)",12.9055944055944
"ASSOC Abielas-Rhodalb-Menzfer","SUBASS Bl-Rhodalb-Menzfer-Tiartri (Vaccmyt wm4)",10.7884615384615
"ASSOC Abielas-Rhodalb-Menzfer","SUBASS Bl-Menzfer-Rhodalb-Xeroten(typic)",2.42307692307692
"ASSOC Abielas-Rhodalb-Menzfer","ASSOC Abielas-Menzfer-Xeroten",10.2307692307692
"ASSOC Abielas-Rhodalb-Menzfer","ASSOC Abielas-Rhodalb-Vaccmem-Dicranu",14.5
