"","Group","NumSpp","DiffSum","NumPlots"
"60","SUBASS HwCw-Paximyr(typic) (mw2)",106,52.825,20
"61","?ASSOC Thujpli-Popubal-Rubupar-Aralnud",40,107.5,2
"62","%ASSOC Thujpli-Tsughet-Tiartri",65,46.125,4
"63","SUBASS HwSxl-Hylospl(Abielas)",133,51.6274509803922,51
"64","SUBASS HwSxl-Hylospl(Dicrfus)",53,56.1,5
"65","SUBASS HwSxl-Hylospl(typic)",59,37.0714285714286,14
"66","SUBASS HwSxl-Hylospl(Thujpli)",187,43.758389261745,149
"67","ASSOC Thujpli-Piceene-Rubupar-Loniuta",170,58.375,16
"68","?ASSOC Thujpli-Piceene-Rubupar",78,179.166666666667,3
"69","ASSOC Thujpli-Piceene-Paximyr-Pyroasa (ICHdk zonal)",112,118.454545454545,11
"70","SUBASS CwSxw-Paximyr-Shepcan(Oryzasp)",81,84.875,4
"71","SUBASS CwSxw-Paximyr-Shepcan(Pinucon)",81,83.2777777777778,9
"72","SUBASS CwSxw-Paximyr(Lw)",134,49.4375,16
"73","SUBASS CwSxw-Paximyr(Loniuta)",192,57.578431372549,51
"74","SUBASS CwSxw-Paximyr(Maiaste)",124,119.666666666667,18
"75","SUBASS CwSxw-Paximyr(typic)",141,54.9259259259259,27
"76","SUBASS CwSxw-Paximyr(Poputre)",49,92.25,4
"77","ASSOC CwSx-Corncan",75,61.4,5
"78","$ASSOC Thujpli-Pseumen-Paximyr",41,27.75,12
"79","ASSOC Thujpli-Pseumen-Acergla-Aralnud",197,31.2758620689655,29
"80","ASSOC Thujpli-Pseumen-Corycor-Aralnud",135,58.4761904761905,21
"81","SUBASS FdCw-Paximyr-Xeroten",54,63.2,5
"82","SUBASS FdCw-Paximyr-Chimumb(Rhytrob)",177,62.3611111111111,54
"83","SUBASS FdCw-Paximyr-Chimumb (Pl)",159,54.7368421052632,19
"84","%ASSOC Pseumen-Thujpli-Rubupar-Aralnud",122,74,8
"85","ASSOC Pseumen-Thujpli-Acergla-Chimumb (IDFmw zonals)",340,50.1903225806452,155
"86","%ASSOC Pseumen-Thujpli-Tsughet-Paximyr-Hylospl%",37,37.875,4
"87","SUBASS PlYc-Empenig-Racomit(Hw)",153,49.027027027027,37
"88","SUBASS PlYc-Empenig-Racomit(Descces)",94,53.5666666666667,15
"89","ASSOC Pinucon-Chamnoo-Thujpli-Gaulsha-Sphagnu",19,84,1
"90","ASSOC CwYcPl-Coptasp (bog forest)",182,119.725,20
